Y,X1,X2,X3
4430272,203,124,176
300201408,853,936,376
30024,216,139,1
50596392,262,266,726
877908672,981,948,944
54069232,218,602,412
73473498,903,191,426
4241325,291,583,25
22164702,518,51,839
283029096,602,772,609
880245,631,3,465
296771040,449,680,972
60537152,772,169,464
40531136,992,62,659
123176900,425,941,308
58743270,951,174,355
96045240,529,356,510
35410500,366,774,125
41392164,983,58,726
9469152,854,21,528
65875610,601,194,565
558992000,920,700,868
5557234,358,43,361
30361320,615,66,748
345673920,944,718,510
141945904,409,796,436
240166930,410,643,911
58788978,929,398,159
108250016,917,868,136
46588136,287,824,197
13593590,101,430,313
2590336,826,32,98
106541550,150,969,733
101409600,480,571,370
195262452,694,693,406
340363296,936,378,962
192038730,598,813,395
151452081,279,671,809
79902480,478,280,597
395697960,657,630,956
22175100,191,172,675
1767717,47,189,199
88659104,727,296,412
24938694,527,717,66
24671304,148,441,378
78232,14,22,254
10830326,107,221,458
9447520,20,548,862
373839180,699,715,748
186976965,763,465,527
6989840,845,517,16
150472202,367,527,778
116960272,187,806,776
19487160,627,56,555
78763740,220,571,627
55796160,437,140,912
43126899,317,449,303
3679650,425,37,234
50632764,364,699,199
4758096,98,136,357
102805160,568,683,265
77933016,378,747,276
42762870,90,753,631
73207320,876,305,274
94660470,843,190,591
2793780,66,102,415
16660800,104,890,180
80657941,299,433,623
205779420,630,539,606
52000912,628,127,652
74205000,255,1000,291
171668160,444,537,720
287879823,693,853,487
112793672,634,316,563
71771508,486,489,302
20491380,65,973,324
68989536,427,792,204
920146500,963,980,975
885887,41,527,41
479543750,625,791,970
33227010,855,153,254
216431012,373,742,782
238051044,422,814,693
75526484,278,583,466
776518752,912,961,886
1337120,40,244,137
37652186,418,169,533
46717248,167,376,744
188057364,501,418,898
325115752,746,986,442
85112160,240,694,511
303031148,859,586,602
25841355,505,461,111
36201114,249,369,394
70442190,183,423,910
1080450,490,441,5
111311928,809,351,392
471795860,821,590,974
31853136,406,168,467
13188448,647,26,784
107850040,398,340,797
45288288,477,989,96
71179460,670,878,121
75548376,552,999,137
537374208,861,848,736
261377050,865,335,902
38929407,913,699,61
274949912,989,589,472
364411320,453,884,910
56750274,334,279,609
165925760,296,616,910
239699592,342,748,937
99986250,586,375,455
108161690,845,223,574
12117248,331,286,128
116013600,410,720,393
81064566,141,843,682
191844112,367,592,883
9520758,549,377,46
205834500,750,474,579
79164722,566,203,689
22020180,481,436,105
58665490,593,130,761
18588900,393,110,430
143646048,624,294,783
79764890,347,635,362
155876000,380,700,586
253171008,892,432,657
79742012,161,931,532
11195250,690,25,649
179313870,687,607,430
190033767,679,363,771
113954148,213,579,924
71165952,384,594,312
165290648,422,724,541
43951488,168,788,332
50379021,231,417,523
61424640,558,172,640
12265020,339,335,108
3292200,155,72,295
28361844,467,63,964
24100000,625,482,80
2122752,691,8,384
61701328,464,193,689
41408136,242,588,291
33870550,235,355,406
126529104,312,961,422
553918400,950,959,608
18529750,475,470,83
18002250,105,450,381
28962558,101,534,537
497447125,811,875,701
516336000,992,750,694
221854080,971,595,384
141348605,613,535,431
4746196,767,364,17
188558400,240,964,815
114907081,691,929,179
68321572,964,379,187
188940080,980,307,628
159845448,763,903,232
27773376,268,816,127
99910112,328,562,542
41589912,137,973,312
57588408,982,324,181
155392965,973,455,351
386802702,858,849,531
36326412,954,241,158
308791116,487,927,684
290557450,430,907,745
25014300,796,75,419
50223270,969,73,710
284968740,509,868,645
5605380,20,447,627
165176928,496,881,378
93510560,260,536,671
782208,3,384,679
593980192,808,844,871
96918822,234,489,847
328552092,594,694,797
259148745,387,673,995
73988608,976,184,412
83837520,585,848,169
199306125,745,725,369
279486906,831,998,337
42801528,418,159,644
51314472,939,506,108
40362840,843,190,252
222774552,546,484,843
8509644,247,54,638
6694380,147,66,690
77766900,335,876,265
374607360,916,426,960
245803430,905,278,977
44289786,769,993,58
169737240,691,890,276
33132006,419,382,207
425642976,678,638,984
231625485,665,507,687
143671590,765,554,339
104609780,670,517,302
106557528,436,966,253
27339290,206,635,209
19263741,889,233,93
196986144,604,508,642
62080984,229,376,721
84103188,338,339,734
166944800,275,976,622
2669100,615,124,35
159872300,295,686,790
378845748,918,606,681
540269240,670,929,868
104691216,644,437,372
1761360,358,6,820
120042888,188,661,966
23059008,258,266,336
196695,9,141,155
16377872,349,56,838
25484823,841,39,777
57599488,512,191,589
63246762,762,379,219
362913230,617,898,655
30733976,148,326,637
3893930,5,887,878
41773347,297,283,497
5016960,134,720,52
1790552,206,82,106
13004664,722,237,76
254095600,946,632,425
167381900,982,175,974
175645170,261,778,865
658805420,749,995,884
49701360,579,232,370
196961050,715,815,338
255886635,555,629,733
43128450,115,926,405
31226250,750,757,55
218432830,847,410,629
15137280,320,162,292
35315280,63,784,715
162489250,275,734,805
107490240,160,957,702
170951248,776,458,481
80941962,219,653,566
3058240,320,503,19
10526670,770,279,49
216083600,739,680,430
148923726,287,878,591
396680,4,422,235
58311396,611,99,964
16842000,802,375,56
167870664,573,312,939
8236377,29,471,603
30960576,138,492,456
219241520,326,920,731
136710054,951,194,741
224044144,431,613,848
72401178,509,157,906
122039280,360,418,811
2004750,450,9,495
10960776,164,141,474
61766236,238,449,578
88710720,921,320,301
21563328,257,184,456
81192510,513,595,266
16586780,140,257,461
122488989,371,501,659
36687300,409,690,130
2682000,300,12,745
84323290,523,230,701
67182750,333,750,269
24787360,160,221,701
54529200,425,432,297
190731470,751,545,466
117959796,452,963,271
63726234,663,187,514
28850904,486,291,204
12760800,75,409,416
48578730,262,789,235
271653942,519,763,686
64272296,134,484,991
99478800,450,732,302
73565634,183,478,841
334633728,554,968,624
40354834,179,338,667
3483032,41,328,259
23322112,704,82,404
2053920,60,88,389
22861632,334,276,248
80706528,774,152,686
292635420,679,660,653
1037160,6,516,335
139450896,837,267,624
190341060,491,546,710
176311422,733,747,322
19574478,87,487,462
10533750,265,375,106
83671504,296,331,854
20363625,345,787,75
179958870,365,637,774
138416040,595,324,718
137887920,162,984,865
32417028,588,391,141
21820560,92,295,804
232588832,721,544,593
62868960,945,231,288
110265336,514,236,909
8797962,174,59,857
180728,76,82,29
22103730,498,55,807
151474596,652,897,259
444677310,803,586,945
232033654,691,379,886
274156553,913,467,643
12419540,230,133,406
11279376,74,292,522
108251598,302,707,507
49696920,60,962,861
14634144,488,63,476
38561424,132,398,734
398728656,927,824,522
159790120,574,898,310
502285952,592,973,872
59815680,421,192,740
5917236,83,156,457
23076438,231,251,398
64953408,104,636,982
182062146,219,833,998
104417280,206,990,512
246059233,661,749,497
107434950,245,470,933
157926720,993,994,160
31204240,430,188,386
421937910,729,590,981
232393728,428,808,672
36230880,120,526,574
29855790,58,837,615
82289250,167,750,657
334587942,541,702,881
113376300,668,465,365
6730020,33,990,206
50871000,186,500,547
682620,367,93,20
5041535,43,655,179
13400352,612,391,56
51144048,912,67,837
582102,886,3,219
43252704,888,902,54
79990416,181,682,648
171593685,345,951,523
33500496,152,327,674
1490514,123,83,146
306483710,515,611,974
99967410,915,417,262
119165200,511,275,848
444839175,543,993,825
155333250,786,775,255
6650802,58,837,137
29606674,62,613,779
25104420,990,62,409
89718242,562,607,263
47483436,118,429,938
230971356,308,873,859
5338320,236,78,290
111132252,198,853,658
29336874,399,194,379
191254740,878,318,685
439841048,733,856,701
332186880,785,608,696
54936000,140,400,981
167063490,759,759,290
71974890,195,681,542
12022512,328,894,41
42465150,182,549,425
154424112,856,214,843
78990600,152,845,615
30362850,510,147,405
571024860,815,878,798
12039363,79,531,287
1057410,6,465,379
76358400,410,970,192
13659360,65,264,796
45708740,134,770,443
226056616,697,568,571
159582150,567,325,866
343973140,373,980,941
5098968,302,21,804
61747200,201,480,640
359181235,985,461,791
159935784,472,631,537
4114726,22,347,539
185758944,259,723,992
39779460,315,131,964
323097489,543,803,741
2828496,121,487,48
14363570,313,353,130
32714528,484,142,476
215311290,886,255,953
236981360,496,803,595
128581904,173,824,902
42837000,654,500,131
42922341,241,257,693
6269394,87,274,263
507030048,744,798,854
10171224,434,42,558
478244928,938,904,564
35579520,852,464,90
6622000,56,215,550
264264,242,26,42
48501050,899,325,166
732840,197,20,186
10950480,908,402,30
247193991,849,561,519
101838250,995,230,445
479205315,565,999,849
68941950,762,517,175
23938992,462,762,68
55802880,160,504,692
181351872,432,468,897
185564946,397,651,718
68364173,911,743,101
143211194,751,257,742
105695492,926,263,434
237034108,641,958,386
564851520,996,834,680
213583840,482,955,464
180486592,962,902,208
94000128,148,827,768
28200438,851,526,63
309872178,418,861,861
18588048,447,368,113
92510000,275,841,400
77276460,705,818,134
184284360,312,699,845
247489536,384,677,952
82349604,849,354,274
84460344,454,419,444
147575736,231,684,934
173232165,547,645,491
521648055,635,941,873
171624180,602,559,510
301749540,695,582,746
36362612,604,143,421
166459860,315,567,932
156901136,824,406,469
27284400,120,858,265
186952150,686,275,991
82678680,245,344,981
22197420,316,315,223
46385620,122,965,394
367195950,939,474,825
257020,284,181,5
275058504,812,697,486
67543040,485,544,256
20537687,107,367,523
16715634,806,223,93
51718672,859,142,424
139167840,840,854,194
18048933,111,203,801
572633712,612,987,948
9535680,860,126,88
100549230,545,317,582
92273027,197,869,539
24707250,75,834,395
226542157,851,523,509
8098560,888,38,240
29218752,457,148,432
30915864,196,414,381
142133166,917,237,654
95987160,376,305,837
202145580,533,387,980
116360064,348,774,432
35526084,726,86,569
3906768,24,199,818
112118700,743,300,503
160197840,716,678,330
11772216,982,999,12
23388288,392,113,528
6933465,87,483,165
150656856,406,642,578
87036216,479,904,201
98568448,142,928,748
63895584,778,118,696
39573625,637,875,71
28115100,486,89,650
1081404,153,589,12
338100,35,70,138
20505408,154,304,438
34022208,352,362,267
120458518,389,551,562
4916480,334,160,92
46722675,339,925,149
38112516,962,142,279
24805280,80,458,677
92809860,143,870,746
63209328,377,998,168
70305396,798,406,217
336454856,866,943,412
210667630,310,893,761
32369664,771,128,328
87017000,868,125,802
2832264,849,139,24
107885040,401,354,760
20930580,682,31,990
255993856,956,512,523
132425079,557,817,291
40084470,355,162,697
115773840,266,540,806
99533112,452,686,321
353614500,450,895,878
1373184,16,192,447
148014020,770,431,446
476153925,871,555,985
283651188,356,919,867
38114120,824,319,145
221983200,645,956,360
6220280,22,335,844
557159800,604,950,971
293188896,791,624,594
56415528,162,481,724
43314642,513,259,326
113115392,832,829,164
413181846,861,726,661
269368470,397,945,718
184073715,315,941,621
71267040,195,486,752
85089216,816,262,398
1059100,476,445,5
30974680,451,680,101
56001825,561,165,605
198130326,989,579,346
65620623,653,817,123
222233544,828,806,333
89732400,940,148,645
77128128,616,296,423
7398600,885,40,209
371802960,724,540,951
182238320,319,740,772
414212750,943,875,502
641301486,753,889,958
309929550,357,895,970
314371245,437,995,723
882354,461,87,22
68830560,452,216,705
18351970,182,469,215
34294610,115,833,358
46220280,204,326,695
263422786,902,419,697
33626460,708,161,295
7899276,913,28,309
66837576,249,356,754
134254372,329,706,578
17261902,203,122,697
7242840,155,88,531
76320,2,848,45
607724,676,1,899
27219400,190,290,494
113090688,172,761,864
25264224,171,243,608
600075700,911,700,941
312417000,900,855,406
35648712,927,88,437
66349368,646,162,634
27370525,227,265,455
422481888,744,599,948
40057696,433,112,826
248633840,820,442,686
47403120,526,120,751
129290274,881,279,526
292096584,422,754,918
36866574,306,373,323
148863820,644,557,415
73143588,578,786,161
283224660,516,755,727
78554700,674,666,175
1106820,39,132,215
29056544,194,851,176
91266714,693,409,322
16685856,276,229,264
446354208,824,738,734
14822640,173,90,952
23068760,65,407,872
18556160,640,38,763
29117061,201,327,443
606760050,975,821,758
57649608,246,708,331
183350304,612,513,584
239012928,544,462,951
45192464,212,389,548
30705717,217,303,467
41942472,858,101,484
11498520,165,562,124
155688480,879,540,328
97574096,164,667,892
13319265,457,435,67
279293168,557,518,968
136621056,208,704,933
77662970,289,385,698
117638808,599,588,334
386966400,692,699,800
29693412,362,98,837
224811216,588,906,422
15990520,65,382,644
222270,465,239,2
67940275,793,575,149
8631662,101,494,173
70951320,123,920,627
42423808,304,356,392
16841152,136,184,673
23281992,366,114,558
3421420,68,347,145
104672406,393,326,817
438904656,999,486,904
61199228,314,223,874
17749953,39,719,633
712470,127,374,15
258861911,583,959,463
3619000,500,154,47
714540396,898,807,986
19261684,116,241,689
29829744,293,168,606
184238208,737,372,672
14379368,229,668,94
115152016,614,952,197
560771400,876,775,826
21326382,966,33,669
56393210,430,419,313
30763404,357,258,334
9391460,52,881,205
53026200,993,178,300
228947490,985,666,349
3439800,234,70,210
116584524,954,406,301
19021860,739,52,495
37374381,159,561,419
195181956,554,529,666
398346520,676,605,974
35754048,792,54,836
298296960,680,888,494
28238700,238,525,226
20379870,526,205,189
329368715,611,655,823
22976952,694,178,186
226374825,717,865,365
170166700,452,925,407
627261192,829,904,837
425202696,694,732,837
65837178,869,183,414
12602016,336,658,57
12945600,465,32,870
53358800,737,400,181
9795744,113,903,96
56603040,965,104,564
252832560,460,652,843
121991590,518,703,335
138276600,308,730,615
115784986,617,202,929
44193600,744,165,360
7822152,274,549,52
25934040,495,444,118
23650928,196,388,311
218444226,962,983,231
13274280,964,17,810
81565625,215,607,625
184435129,311,977,607
22186122,98,391,579
253188096,812,384,812
32018536,97,968,341
52704136,232,619,367
112260960,258,840,518
43409520,945,87,528
59896800,540,235,472
131572432,961,172,796
264772752,584,582,779
6323966,629,22,457
73689792,814,984,92
11406850,910,23,545
136045305,951,867,165
72553362,413,201,874
52049664,464,369,304
125308296,486,292,883
25391160,753,562,60
4643100,175,44,603
303579540,510,622,957
11695104,141,384,216
175784040,370,477,996
31591072,892,38,932
69071024,506,452,302
182468368,797,328,698
349465404,874,618,647
197169000,458,574,750
58925682,222,859,309
111212640,462,340,708
18615714,303,221,278
56503811,107,829,637
3435800,20,205,838
180870390,393,690,667
3838266,19,261,774
156246400,314,800,622
283236786,366,857,903
68268444,218,402,779
54217800,455,120,993
264376032,456,751,772
22300515,765,123,237
9541917,33,843,343
2949408,57,231,224
44607450,106,905,465
18457500,500,535,69
10258140,68,339,445
371000994,953,598,651
352512,136,8,324
67855590,135,682,737
338906928,514,662,996
49880016,456,354,309
82770270,307,330,817
250210782,783,369,866
58190352,968,233,258
7340008,178,169,244
61359056,304,311,649
46025253,151,639,477
881730,1,970,909
21317337,459,113,411
156641320,220,914,779
479032110,981,615,794
5904756,52,341,333
6760260,45,428,351
23341760,248,724,130
90376496,904,518,193
51732600,571,100,906
70481568,932,552,137
437500,28,125,125
2676960,30,429,208
99305628,228,667,653
4495680,892,42,120
26078640,361,344,210
199958850,285,771,910
334247930,443,985,766
92470378,442,847,247
28243046,62,523,871
37450542,53,899,786
11224250,85,278,475
4633632,519,93,96
20504040,152,255,529
6540380,685,28,341
9701370,435,126,177
70223664,168,511,818
112095411,267,899,467
67649400,350,236,819
12515580,63,215,924
45416364,749,163,372
410124001,911,881,511
24452034,411,394,151
698350092,836,907,921
10454205,15,983,709
106178775,655,321,505
24792813,381,327,199
91707434,658,923,151
247330348,788,499,629
106082118,909,118,989
38247552,288,357,372
60863319,823,81,913
5424570,81,74,905
54509805,245,531,419
2658150,135,55,358
51468480,322,480,333
383342344,953,653,616
154084656,464,957,347
488188800,736,670,990
15687840,98,230,696
16423668,27,631,964
334824840,756,798,555
78359160,116,759,890
46822251,399,239,491
15887664,299,369,144
9804177,229,213,201
21243555,305,327,213
60731160,591,140,734
51136,188,4,68
165957750,771,861,250
44615200,200,434,514
12421512,232,81,661
92089920,471,416,470
46136090,605,91,838
8509644,38,234,957
58276350,825,366,193
320773425,635,849,595
195947304,476,437,942
425092701,957,901,493
86016630,217,438,905
1383800,2,740,935
74022000,845,365,240
169936520,580,767,382
972439,13,127,589
228753050,610,895,419
268695552,866,768,404
4575300,505,302,30
34002468,159,284,753
115525560,696,445,373
356389000,905,716,550
329650832,854,854,452
118620000,659,480,375
442397900,551,925,868
19935063,321,381,163
401454144,621,672,962
12894552,486,66,402
4208400,300,28,501
205627520,392,830,632
23780000,145,800,205
18301800,66,590,470
83374992,582,282,508
216499140,858,647,390
5833920,206,472,60
184319940,818,290,777
22951390,41,727,770
101824640,778,409,320
184506000,764,690,350
32143800,317,780,130
16768656,828,332,61
123599658,219,886,637
54828256,584,196,479
280536762,786,781,457
460676958,786,707,829
31433688,923,44,774
30760155,243,873,145
81735696,537,906,168
170591652,684,869,287
3166008,212,786,19
200615968,694,356,812
101277456,787,168,766
131275044,387,548,619
50856256,752,116,583
130818765,385,593,573
346565480,895,499,776
43585875,265,225,731
137414080,760,932,194
118586181,469,267,947
7346808,63,129,904
141837822,658,557,387
29927736,501,131,456
148583496,437,914,372
136673154,687,467,426
19467210,697,30,931
108220470,255,886,479
43215730,59,890,823
1099448,677,29,56
41029170,546,113,665
19723326,326,67,903
2433564,222,18,609
35119539,91,411,939
10802584,26,431,964
22799946,358,69,923
178133760,188,960,987
52679056,586,136,661
453536820,810,682,821
591861600,705,990,848
150864924,658,371,618
8261604,278,762,39
11365560,393,120,241
58808100,75,887,884
266932784,947,446,632
1893245,163,505,23
163895776,898,374,488
4329612,92,249,189
248586276,827,677,444
312946480,808,503,770
77554314,538,843,171
138334814,493,914,307
16067260,44,995,367
71246164,214,818,407
33735295,71,815,583
124825032,293,776,549
480022664,671,892,802
56507136,914,69,896
24636416,448,112,491
17144127,231,173,429
636836532,717,932,953
636174,153,231,18
115231236,298,669,578
84282150,365,895,258
48301344,504,194,494
85566117,663,179,721
11206250,110,625,163
57375450,865,165,402
116235,15,9,861
392194400,860,877,520
125663594,181,707,982
5685867,79,99,727
190476176,536,638,557
254736300,903,325,868
44231940,505,811,108
181613400,537,380,890
258242985,585,539,819
256473000,805,590,540
1322676,37,108,331
189637668,759,564,443
17629920,55,848,378
26747280,696,854,45
274089060,749,570,642
44680080,932,68,705
20802432,654,994,32
426517056,953,864,518
24237312,152,302,528
192657150,315,703,870
262103016,744,413,853
38819206,998,401,97
224733600,882,650,392
90778656,628,634,228
16588800,320,128,405
313664,52,16,377
330980760,684,913,530
93966680,346,734,370
1856520,54,90,382
25011168,546,56,818
60507000,675,360,249
11404282,811,89,158
30129840,148,351,580
127772268,478,894,299
148452,89,6,278
4050094,478,229,37
5702400,75,594,128
465148422,762,719,849
59765360,296,331,610
490673898,869,762,741
682942080,965,912,776
2790844,491,196,29
66182400,383,216,800
100759941,207,677,719
1663480,457,28,130
25622400,160,170,942
16963200,228,600,124
7700805,45,203,843
117032264,668,698,251
82517760,320,377,684
44015008,79,736,757
144151840,670,238,904
156996384,474,652,508
94462480,940,518,194
265495272,458,618,938
980628,17,114,506
130172192,694,304,617
174066669,791,441,499
55662726,258,259,833
42268720,97,838,520
58531935,363,595,271
97558720,679,898,160
490463424,732,752,891
59500110,505,219,538
46623150,399,950,123
4586580,614,9,830
394784325,695,971,585
119556,162,3,246
321063292,779,551,748
294361452,966,342,891
43419670,293,365,406
152295552,794,192,999
108924321,121,969,929
8946080,22,782,520
487388,53,121,76
56672000,115,550,896
80852517,339,321,743
10515120,569,462,40
42197760,72,660,888
116929680,392,489,610
185385204,321,596,969
36867526,139,538,493
47461240,317,380,394
377333208,756,521,958
403603200,880,546,840
635494425,925,709,969
43676094,913,67,714
42017576,268,277,566
8046633,43,469,399
734147739,993,801,923
10796544,198,426,128
91901920,808,940,121
522627780,940,723,769
25279590,593,58,735
36966240,796,72,645
3251136,336,118,82
4490140,487,922,10
52251430,199,770,341
32990880,622,136,390
108592260,454,357,670
256545522,331,926,837
21780000,100,726,300
28190976,71,704,564
256881339,663,597,649
7586250,30,425,595
25320654,851,54,551
247401000,420,693,850
399984520,820,949,514
895115,47,293,65
79828560,337,282,840
61826648,302,254,806
258223248,366,717,984
1267200,45,32,880
267628704,899,443,672
69085540,383,580,311
5277720,305,42,412
55360110,465,241,494
77998249,421,199,931
31353504,194,728,222
123382350,966,195,655
750315462,842,939,949
314690464,844,418,892
8260998,241,197,174
1758900,82,110,195
43217064,376,473,243
77615928,234,844,393
4189680,165,69,368
16839900,660,405,63
23144958,439,303,174
357143514,663,763,706
16520320,160,622,166
623016765,837,765,973
213427368,843,822,308
125154900,225,563,988
88864750,130,925,739
125031252,229,692,789
429259792,772,578,962
86810280,443,920,213
325101469,847,463,829
